Issue Key,Tipo de Problema,Rework Score,Reopen Count,Backward Moves,QA Returns,Revisitas Status,Conformance Score,Conforme Basico,Lead Time Fluxo (dias),Done Final Author,Done Final Date,Variant
W1NNR-1972,Tarefa,0,0,0,0,0,0.6667,Nao,20.3636,Danilo Monreal,2026-01-26 22:21:24,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1974,Tarefa,0,0,0,0,0,0.6667,Nao,30.2841,Danilo Monreal,2026-02-06 19:43:00,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1975,Tarefa,0,0,0,0,0,0.6667,Nao,21.0481,Danilo Monreal,2026-02-06 19:43:00,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1976,Tarefa,0,0,0,0,0,0.6667,Nao,11.7774,Danilo Monreal,2026-01-26 22:21:25,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1979,Tarefa,0,0,0,0,0,0.6667,Nao,5.1117,Lorraine Caribe,2026-01-12 19:42:18,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1980,Tarefa,0,0,0,0,0,0.6667,Nao,5.1008,Lorraine Caribe,2026-01-12 19:42:19,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1981,Tarefa,0,0,0,0,0,0.6667,Nao,25.2069,Danilo Monreal,2026-02-06 19:43:01,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1982,Tarefa,0,0,0,0,0,0.6667,Nao,25.048,Danilo Monreal,2026-02-06 19:43:02,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1986,Tarefa,0,0,0,0,0,0.6667,Nao,22.7199,Danilo Monreal,2026-02-06 19:43:03,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1991,Tarefa,0,0,0,0,0,0.6667,Nao,17.7366,Danilo Monreal,2026-02-06 19:43:05,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-1992,Tarefa,0,0,0,0,0,0.6667,Nao,12.429,Danilo Monreal,2026-01-26 22:21:25,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2003,Tarefa,0,0,0,0,0,0.6667,Nao,2.9766,Lorraine Caribe,2026-01-12 19:42:19,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2005,Tarefa,0,0,0,0,0,0.6667,Nao,10.4005,Danilo Monreal,2026-01-26 22:21:26,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2011,Tarefa,0,0,0,0,0,0.6667,Nao,19.969,Danilo Monreal,2026-02-06 19:43:06,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2030,Tarefa,0,0,0,0,0,0.6667,Nao,18.0719,Danilo Monreal,2026-02-06 19:43:07,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2033,Tarefa,0,0,0,0,0,0.6667,Nao,17.2208,Danilo Monreal,2026-02-06 19:43:08,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2079,Tarefa,0,0,0,0,0,0.6667,Nao,10.2493,Danilo Monreal,2026-02-06 19:43:12,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2082,Tarefa,0,0,0,0,0,0.6667,Nao,7.9992,Danilo Monreal,2026-02-06 19:43:13,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2083,Tarefa,0,0,0,0,0,0.6667,Nao,9.2087,Danilo Monreal,2026-02-06 19:43:14,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2084,Tarefa,0,0,0,0,0,0.6667,Nao,9.0227,Danilo Monreal,2026-02-06 19:43:15,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2085,Tarefa,0,0,0,0,0,0.6667,Nao,9.2045,Danilo Monreal,2026-02-06 19:43:16,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-2098,Tarefa,0,0,0,0,0,0.6667,Nao,4.0613,Danilo Monreal,2026-02-06 19:43:17,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-225,Tarefa,0,0,0,0,0,0.6667,Sim,11.6645,Lara Junqueira Alvarenga,2024-09-24 13:19:45,In Progress > Ready To Staging > Done
W1NNR-226,Tarefa,0,0,0,0,0,0.6667,Sim,11.6644,Lara Junqueira Alvarenga,2024-09-24 13:19:48,In Progress > Ready To Staging > Done
W1NNR-29,Tarefa,0,0,0,0,0,0.6667,Nao,33.9595,Igor Rezende,2024-06-25 13:38:02,In Progress > Production > Done
W1NNR-30,Tarefa,0,0,0,0,0,0.6667,Nao,11.6999,Igor Rezende,2024-06-25 13:38:02,In Progress > Production > Done
W1NNR-31,Tarefa,0,0,0,0,0,0.6667,Sim,71.0232,Lorraine Caribe,2024-08-01 14:13:17,In Progress > In Staging > Done
W1NNR-33,Tarefa,0,0,0,0,0,0.6667,Nao,6.9764,Igor Rezende,2024-06-25 13:38:02,In Progress > Production > Done
W1NNR-46,Tarefa,0,0,0,0,0,0.6667,Nao,11.6995,Igor Rezende,2024-06-25 13:38:01,In Progress > Production > Done
W1NNR-47,Tarefa,0,0,0,0,0,0.6667,Nao,5.0163,Igor Rezende,2024-06-25 13:38:07,In Progress > Production > Done
W1NNR-610,Problema,0,0,0,0,0,0.6667,Nao,10.8844,Thaís Cabral,2025-03-11 16:13:29,QA Approved > Ready for Production > Done
W1NNR-635,Tarefa,0,0,0,0,0,0.6667,Nao,15.4659,Lorraine Caribe,2025-09-03 20:54:23,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-847,Tarefa,0,0,0,0,0,0.6667,Nao,35.5417,Lorraine Caribe,2025-06-02 17:36:05,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-848,Tarefa,0,0,0,0,0,0.6667,Nao,35.5416,Lorraine Caribe,2025-06-02 17:36:07,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-850,Tarefa,0,0,0,0,0,0.6667,Nao,17.904,Lorraine Caribe,2025-06-02 17:36:08,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-874,Tarefa,0,0,0,0,0,0.6667,Nao,26.9413,Lorraine Caribe,2025-06-02 17:36:35,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-877,Tarefa,0,0,0,0,0,0.6667,Nao,20.9078,Lorraine Caribe,2025-06-02 17:36:39,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-878,Tarefa,0,0,0,0,0,0.6667,Nao,13.9711,Lorraine Caribe,2025-06-02 17:36:37,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-879,Tarefa,0,0,0,0,0,0.6667,Nao,19.1,Lorraine Caribe,2025-06-02 17:36:36,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-881,Tarefa,0,0,0,0,0,0.6667,Nao,24.9879,Lorraine Caribe,2025-06-02 17:36:38,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-882,Tarefa,0,0,0,0,0,0.6667,Nao,18.995,Lorraine Caribe,2025-06-02 17:36:40,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-883,Tarefa,0,0,0,0,0,0.6667,Nao,26.2003,Lorraine Caribe,2025-06-02 17:36:34,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-902,Tarefa,0,0,0,0,0,0.6667,Nao,35.1371,Lorraine Caribe,2025-07-04 23:16:41,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-903,Tarefa,0,0,0,0,0,0.6667,Nao,35.3605,Lorraine Caribe,2025-07-04 23:16:40,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-904,Tarefa,0,0,0,0,0,0.6667,Nao,53.2191,Lorraine Caribe,2025-07-04 23:16:37,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-905,Tarefa,0,0,0,0,0,0.6667,Nao,50.3094,Lorraine Caribe,2025-07-04 23:16:39,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-907,Tarefa,0,0,0,0,0,0.6667,Nao,37.2066,Lorraine Caribe,2025-07-04 23:16:40,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-908,Tarefa,0,0,0,0,0,0.6667,Nao,46.3685,Lorraine Caribe,2025-07-04 23:16:42,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-909,Tarefa,0,0,0,0,0,0.6667,Nao,56.1373,Lorraine Caribe,2025-07-04 23:16:43,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-910,Tarefa,0,0,0,0,0,0.6667,Nao,44.1398,Lorraine Caribe,2025-07-04 23:16:44,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-911,Tarefa,0,0,0,0,0,0.6667,Nao,31.1934,Lorraine Caribe,2025-07-04 23:16:44,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-912,Tarefa,0,0,0,0,0,0.6667,Nao,44.0254,Lorraine Caribe,2025-06-22 23:35:21,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-913,Tarefa,0,0,0,0,0,0.6667,Nao,43.9864,Lorraine Caribe,2025-06-22 23:35:22,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-914,Tarefa,0,0,0,0,0,0.6667,Nao,43.9261,Lorraine Caribe,2025-06-22 23:35:24,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
